Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1655.407442231778
FDW14,OUT017,1358.983793406511
NCN55,OUT010,593.4390460317986
FDQ58,OUT017,2484.373522142362
FDY38,OUT027,6250.014796089772
FDH56,OUT046,1979.4461393814531
FDL48,OUT018,744.2805303555427
FDC48,OUT027,2189.911260796404
FDN33,OUT045,1531.7736760300693
FDA36,OUT017,3120.0441745457974
FDT44,OUT017,1984.293725964075
FDQ56,OUT045,1359.550819415623
NCC54,OUT019,584.6668220515934
FDU11,OUT049,2030.0712880566261
DRL59,OUT013,781.3538930094305
FDM24,OUT049,2441.1032615061545
FDI57,OUT045,3027.493310830366
DRC12,OUT018,2946.060373068133
NCM42,OUT027,2945.072364850552
FDA46,OUT010,507.61384980385765
FDA31,OUT013,2861.0016079975903
NCJ31,OUT035,3869.814130839166
FDG52,OUT046,755.9813329483826
NCL19,OUT019,304.4212684949761
FDS10,OUT035,2996.2992583597165
FDX22,OUT010,552.2190070844324
NCF19,OUT035,755.9813329483826
NCE06,OUT046,2535.8248545927936
DRC27,OUT046,3941.541266564631
FDE21,OUT035,1988.6599482644556
NCR42,OUT019,90.16278014292142
FDX51,OUT018,3006.0054503809997
NCR06,OUT018,612.085869034498
FDU31,OUT027,5549.101217119181
FDU59,OUT017,2542.9499488187635
FDR03,OUT027,5549.101217119181
FDS49,OUT027,2205.4293448226517
FDD48,OUT010,256.91068257474313
NCF18,OUT017,3046.2113681985356
NCD43,OUT027,2576.331110393312
NCD54,OUT018,2010.1133624126458
FDY19,OUT010,262.987900871405
NCY54,OUT017,2860.6253039921826
NCL19,OUT018,2419.4538599191037
FDP23,OUT010,540.3093080053951
FDC26,OUT013,1763.2260914672424
FDR14,OUT010,165.2914510464974
NCS41,OUT035,3103.4853347888934
FDF41,OUT035,3947.21708550109
FDU34,OUT046,2046.6332429522854
DRH11,OUT046,871.9111638381893
FDM03,OUT013,1654.8679842065376
FDS31,OUT017,3081.905039845627
FDJ20,OUT017,2026.0042920107342
FDV44,OUT027,5097.414424635467
FDG02,OUT049,3125.253262917278
FDA09,OUT013,3007.9974202394064
FDT04,OUT013,615.3546302469562
FDL58,OUT019,585.9263722372347
FDE52,OUT045,1379.6078060470418
FDW12,OUT035,2494.2253924883203
FDL51,OUT017,3677.899359391838
NCY42,OUT027,3345.44023072904
FDR07,OUT017,1556.058218429917
FDN40,OUT045,2455.8097489863158
FDB35,OUT027,2475.601753893354
FDA22,OUT017,2548.216616912504
NCL06,OUT046,4143.116101727335
FDI35,OUT013,3064.338358823593
NCW42,OUT045,3759.682061099435
NCX06,OUT049,2995.315684449447
FDC37,OUT027,2590.4542755715347
FDZ14,OUT018,1860.854379966979
DRG49,OUT049,3932.972415886697
NCG06,OUT045,4050.689067388141
DRC36,OUT045,2859.504216380734
FDV21,OUT019,297.4350060948027
FDB53,OUT046,2508.8843350252396
DRP47,OUT019,584.6668220515934
FDA14,OUT013,2483.282373629161
DRC24,OUT035,2553.051436182474
FDW21,OUT018,1590.7086521523277
NCH29,OUT046,1568.153218823573
FDU58,OUT013,3118.27521491569
FDY27,OUT017,2905.6346510268636
FDV56,OUT035,1655.407442231778
FDT59,OUT046,3854.7148765425627
FDB23,OUT046,3799.843602332882
FDR49,OUT045,754.1365883361457
FDB03,OUT010,600.2184924976693
FDN39,OUT045,2649.149335070391
FDX02,OUT027,5846.639101294971
FDQ16,OUT027,2593.1017697943844
FDU35,OUT018,1550.6558692676329
NCT29,OUT013,2017.7507536818946
FDZ27,OUT046,755.9813329483826
FDN57,OUT017,2057.5462734821626
FDA03,OUT018,2410.5111442766333
FDZ36,OUT045,3075.536452729266
NCU05,OUT013,1308.0882333610796
FDT39,OUT018,2350.1035278193303
FDK60,OUT017,1556.058218429917
FDZ25,OUT017,2795.157242015027
FDG12,OUT046,2054.1073892993672
DRB01,OUT019,498.506993753002
NCC43,OUT027,6251.313983876513
FDX13,OUT019,578.7455422700048
FDM22,OUT049,833.5293318115207
FDJ03,OUT027,1221.178099227385
FDU14,OUT018,3691.132289724922
FDB33,OUT010,393.43064324071645
FDP27,OUT046,3118.141009039946
FDO38,OUT010,173.68856617842653
FDE28,OUT027,6250.014796089772
FDO27,OUT035,1526.7917067990447
DRL23,OUT027,2586.246302764517
FDS28,OUT046,868.5337809554886
FDX24,OUT013,1459.6078818314252
FDZ02,OUT035,1557.4020428159763
FDL46,OUT045,1959.6143993936746
FDS60,OUT027,4927.431823673487
NCO06,OUT017,599.320090494817
FDO16,OUT035,1359.1306875125586
FDC60,OUT049,1364.2657767843991
FDA48,OUT018,3301.103133754428
FDZ36,OUT027,5120.285300870202
FDK27,OUT045,2031.3824632022029
FDW23,OUT018,601.7131876951412
FDM14,OUT018,1661.1437015337815
FDM14,OUT013,1657.3436602266759
FDW60,OUT018,2830.9922263805825
FDE21,OUT013,1979.1896887556466
NCM42,OUT035,1657.3436602266759
FDY59,OUT010,209.214997454809
DRI49,OUT049,1310.2184071378701
FDT28,OUT019,336.09408566818536
FDQ22,OUT018,605.0438489873724
FDR60,OUT049,1274.6225726450593
FDC50,OUT019,237.22733190817388
FDV24,OUT013,2412.233575023571
DRF48,OUT010,479.0434376634829
FDQ47,OUT046,605.3033598936694
DRN36,OUT049,1563.4610604448058
NCY06,OUT035,2040.322703929722
FDE52,OUT035,1380.8837482495978
NCB54,OUT045,2016.3018253261096
NCF31,OUT035,2501.2128807647196
FDJ08,OUT027,5188.048259933064
NCC07,OUT017,1653.3904068420961
NCD19,OUT027,1590.3885587519926
FDL46,OUT049,2024.671475099994
FDM20,OUT045,3945.7999174148235
NCI06,OUT010,441.4337730248848
DRM11,OUT035,4227.559998511729
NCH07,OUT018,2483.5580797017556
FDS23,OUT013,2032.6741694656353
FDO49,OUT018,741.4102937225232
FDS35,OUT049,1032.615314399848
DRK39,OUT045,1338.1296068974707
DRI39,OUT049,871.9111638381893
FDV04,OUT017,2520.641783635285
NCN14,OUT035,3041.1420469119553
FDH08,OUT013,3825.748414823265
FDS20,OUT046,3118.753621905236
FDV40,OUT049,1182.2392163912775
FDZ48,OUT010,240.20339671359497
FDS24,OUT027,2415.0858347276207
FDK44,OUT049,2862.8241088996
FDS48,OUT045,2529.6549317668555
FDK26,OUT010,502.9018953405493
FDD23,OUT045,3064.6839307201126
NCH54,OUT017,2608.284085849918
NCP14,OUT010,223.65401328747237
FDM60,OUT010,90.16278014292142
FDV24,OUT017,2453.9089543726823
FDH08,OUT018,3360.1204854531393
FDS12,OUT027,3306.5962124724256
FDR39,OUT027,4989.789661073052
FDP12,OUT027,1125.1442486487294
DRF60,OUT027,6291.762893662223
FDC09,OUT035,1649.1683583357908
FDF50,OUT018,2999.9229462043727
FDG28,OUT035,3989.0376595556536
NCE19,OUT017,868.5337809554886
NCM53,OUT010,237.9355791217044
NCN18,OUT049,1758.4353273119953
FDF32,OUT035,3118.8969331347953
FDF11,OUT013,3933.3705120730256
DRI59,OUT049,3811.9470552749162
NCG54,OUT035,2800.2236069761816
FDM44,OUT046,1640.7371951823359
FDT57,OUT018,3440.4123962603235
FDV24,OUT046,2441.1032615061545
FDI50,OUT019,577.5406020550251
FDS09,OUT035,774.3085073509642
NCC31,OUT027,4010.9282599304634
FDQ07,OUT019,574.0566646153537
FDC22,OUT017,3128.4389174968032
FDZ56,OUT046,2782.672085787999
FDZ40,OUT019,169.47321288103922
FDS46,OUT027,3143.2457758089417
DRD24,OUT045,2082.9493838738954
FDV45,OUT017,3100.1280541971755
FDL26,OUT045,2530.472630190138
FDA56,OUT018,1885.0164865128563
FDN27,OUT046,1997.4547974352547
FDM20,OUT049,3946.104899395792
FDO16,OUT017,1340.3460892560997
FDL03,OUT035,3040.575464918658
FDE58,OUT046,1984.8860011126571
FDI02,OUT027,3144.8893091548944
NCC55,OUT019,90.16278014292142
FDR03,OUT018,3157.2689794407033
FDB14,OUT017,1457.6716638365272
FDR45,OUT013,3938.9414338831293
NCN07,OUT017,2053.6102058478214
FDM51,OUT019,245.59501690309756
FDT52,OUT027,6291.1740306921265
FDL26,OUT046,2512.919810052791
NCZ42,OUT046,3912.2457851375016
DRI47,OUT019,362.7750655311031
FDW40,OUT013,2085.7073965291856
FDN34,OUT046,2799.231242447769
FDS01,OUT035,2945.0263930030846
NCG55,OUT045,1960.9848747076758
FDC11,OUT035,1358.1649508312753
FDX35,OUT018,3345.3894400089384
NCB06,OUT046,2582.6932274027376
FDR09,OUT019,582.357787149982
FDC53,OUT017,1560.4701124449532
FDY45,OUT013,4138.240723714403
FDA22,OUT010,384.58318784216056
FDE02,OUT035,1524.5752244404157
FDW21,OUT045,1640.7371951823359
FDV34,OUT046,1145.1018802294245
FDS59,OUT049,1657.3436602266759
NCW17,OUT017,2064.358805172463
NCK54,OUT046,1992.529223178141
FDG17,OUT019,577.370461037672
FDG35,OUT017,2879.568857041834
FDD08,OUT010,90.16278014292142
NCO07,OUT017,3721.7873673436843
FDJ10,OUT010,280.34109299893026
FDW36,OUT017,1648.6289003105505
FDW21,OUT010,215.53347239631952
FDY19,OUT017,1985.6650745657892
DRE03,OUT013,756.3916846527459
NCC55,OUT049,617.6166001257563
FDH52,OUT010,165.4305793722888
FDO09,OUT017,4090.469511500496
FDU43,OUT045,3901.1007700170226
FDX09,OUT010,416.0651838159923
FDH40,OUT019,213.8970920260619
FDW58,OUT017,1649.1683583357908
FDC47,OUT017,3817.33991796748
NCR41,OUT035,1512.8796066116795
DRG49,OUT035,3982.272745389138
FDC52,OUT027,4003.3489510786912
FDY13,OUT046,1173.139236620865
FDY35,OUT013,631.0348397343519
FDI35,OUT017,3100.794942204212
NCU18,OUT049,2100.0488551036897
FDY33,OUT018,2481.0364088335987
FDC15,OUT027,3912.7191896129725
FDU01,OUT049,3052.3155669879184
NCU42,OUT046,2767.609609274879
NCV29,OUT018,2828.729645606879
NCY30,OUT017,3041.3064871341194
FDQ46,OUT049,1763.2260914672424
FDG58,OUT027,3856.8264513140352
FDK33,OUT017,3696.6239978757458
NCD07,OUT045,1937.8787320712668
NCX29,OUT027,3796.0345392446593
NCT42,OUT013,2418.145973941024
DRN59,OUT035,754.1365883361457
FDI44,OUT035,1288.0597852722617
FDA45,OUT049,2854.2464713103377
FDP31,OUT045,1038.3754854852587
FDY01,OUT046,1965.9044273085146
FDT09,OUT018,1913.2815799705484
DRH03,OUT027,2526.3355985252424
FDA36,OUT018,3016.0292742513543
NCF31,OUT017,2473.482545260514
FDG14,OUT049,2446.2811769683117
FDG28,OUT027,6291.1740306921265
FDU14,OUT049,4077.4086794874365
FDY47,OUT019,298.5529345753698
FDI56,OUT049,1381.7780422587782
DRD01,OUT013,851.004080248362
FDM22,OUT046,864.4883186865139
FDH33,OUT013,625.7273115863128
DRZ24,OUT013,1971.0032290246006
NCQ38,OUT046,1649.1683583357908
FDO16,OUT027,2277.843733615057
FDU07,OUT027,3859.8651598695924
NCB07,OUT013,3027.825888932338
FDU48,OUT045,2035.3476448877054
NCM43,OUT045,2640.1731485167397
FDR31,OUT010,347.9318684089243
DRK49,OUT018,608.4781679468703
NCI30,OUT010,593.4390460317986
DRD60,OUT017,3066.3941399225237
NCG19,OUT046,3767.3814283738075
FDH12,OUT035,1648.6289003105505
FDM32,OUT035,1439.5492785729596
FDM27,OUT035,2564.663804754381
NCU53,OUT027,4267.837096122825
NCQ18,OUT046,1587.4457120609964
FDS10,OUT013,2917.7499977668444
FDB33,OUT027,4087.958005060784
FDI12,OUT013,1357.796826498615
NCW42,OUT013,3726.352427976833
NCC06,OUT018,1901.3606718903116
FDW02,OUT017,2037.4292436183384
NCD43,OUT017,1651.1045763306888
FDM57,OUT018,1348.394309628366
FDA58,OUT017,3885.9262347874137
FDK56,OUT046,3116.3923341354557
